peak_rank,weeks_on_chart,danceability,energy,loudness,speechiness,instrumentalness,tempo
1,269,0.825,0.652,-3.183,0.0802,0,95.977
16,268,0.776,0.78,-4.374,0.128,0,124.949
7,268,0.358,0.557,-7.398,0.059,0,85.043
4,262,0.599,0.448,-6.312,0.0232,0,95.05
13,226,0.841,0.728,-3.37,0.0484,0,130.049
7,216,0.872,0.391,-9.144,0.242,0.00000413,134.021
24,205,0.351,0.296,-10.109,0.0333,0,115.284
3,194,0.511,0.566,-7.23,0.2,0,83.903
11,182,0.414,0.404,-9.928,0.0499,0,71.105
2,179,0.748,0.524,-5.599,0.0338,0,95.01
1,179,0.755,0.522,-4.368,0.0575,0,89.96
2,172,0.617,0.635,-6.769,0.0317,0.0000144,103.019
3,171,0.572,0.385,-6.362,0.0308,0,95.799
4,168,0.501,0.405,-5.679,0.0319,0,109.891
41,154,0.614,0.379,-10.48,0.0476,0.000464,107.989
110,145,0.422,0.264,-7.064,0.0322,0,119.93
1,140,0.824,0.587,-6.401,0.0937,0.000105,98.029
1,138,0.759,0.548,-6.049,0.029,0,116.967
1,134,0.695,0.762,-3.497,0.0395,0.00244,120.042
2,125,0.793,0.793,-4.521,0.083,0,123.95
4,123,0.548,0.816,-4.209,0.0465,0,95.39
19,122,0.459,0.575,-4.858,0.0573,0,111.881
1,121,0.514,0.73,-5.934,0.0598,0.0000954,171.005
12,120,0.792,0.625,-5.609,0.0536,0.0018,103.967
2,116,0.775,0.327,-7.241,0.0557,0,91.05
6,104,0.676,0.771,-3.675,0.0483,0.000007,99.048
1,97,0.679,0.587,-7.015,0.276,0.00000635,186.003
1,96,0.908,0.621,-6.638,0.102,0.0000539,150.011
98,87,0.352,0.911,-5.23,0.0747,0,148.033
12,87,0.357,0.425,-7.301,0.0333,0,102.078
1,85,0.701,0.716,-3.671,0.0361,0,91.007
2,83,0.791,0.862,-3.24,0.11,0.0000219,123.994
2,83,0.746,0.765,-4.41,0.0993,0,114.044
29,82,0.612,0.807,-2.81,0.0336,0.0177,124.053
